Category,Message,spam
spam,07732584351 rodger burn msg tried call reply sm free nokia mobile free camcorder please call 08000930705 delivery tomorrow,1
ham,seeing,0
ham,great hope like man well endowed lt gt inch,0
ham,call message missed call,0
ham,get hep b immunisation nigeria,0
ham,fair enough anything going,0
ham,yeah hopefully tyler could maybe ask around bit,0
ham,u know stubborn even want go hospital kept telling mark weak sucker hospital weak sucker,0
ham,thinked first time saw class,0
ham,gram usually run like lt gt half eighth smarter though get almost whole second gram lt gt,0
ham,k fyi x ride early tomorrow morning crashing place tonight,0
ham,wow never realized embarassed accomodations thought liked since best could always seemed happy cave sorry give sorry offered sorry room embarassing,0
spam,sm ac sptv new jersey devil detroit red wing play ice hockey correct incorrect end reply end sptv,1
ham,know mallika sherawat yesterday find lt url gt,0
spam,congrats 1 year special cinema pas 2 call 09061209465 c suprman v matrix3 starwars3 etc 4 free bx420 ip4 5we 150pm dont miss,1
ham,sorry call later meeting,0
ham,tell reached,0
ham,yes gauti sehwag odi series,0
ham,gonna pick 1 burger way home even move pain killing,0
ham,ha ha ha good joke girl situation seeker,0
ham,part checking iq,0
ham,sorry roommate took forever ok come,0
ham,ok lar double check wif da hair dresser already said wun cut v short said cut look nice,0
spam,valued customer pleased advise following recent review mob awarded â 1500 bonus prize call 09066364589,1
ham,today song dedicated day song u dedicate send ur valuable frnds first rply,0
spam,urgent ur awarded complimentary trip eurodisinc trav aco entry41 â 1000 claim txt dis 87121 18 6 â 1 50 morefrmmob shracomorsglsuplt 10 ls1 3aj,1
spam,hear new divorce barbie come ken stuff,1
ham,plane give month end,0
ham,wah lucky man save money hee,0
ham,finished class,0
ham,hi babe im home wanna something xx,0
ham,k k performed,0
ham,u call,0
ham,waiting machan call free,0
ham,thats cool gentleman treat dignity respect,0
ham,like people much shy pa,0
ham,operate lt gt,0
ham,still looking job much ta earn,0
ham,sorry call later,0
ham,k call ah,0
ham,ok way home hi hi,0
ham,place man,0
ham,yup next stop,0
ham,call later network urgnt sm,0
ham,real u getting yo need 2 ticket one jacket done already used multis,0
ham,yes started send request make pain came back back bed double coin factory gotta cash nitros,0
ham,really still tonight babe,0
ham,ela kano il download come wen ur free,0
ham,yeah donâ stand close tho youâ catch something,0
ham,sorry pain ok meet another night spent late afternoon casualty mean done stuff42moro includes time sheet sorry,0
ham,smile pleasure smile pain smile trouble pours like rain smile sum1 hurt u smile becoz someone still love see u smiling,0
spam,please call customer service representative 0800 169 6031 10am 9pm guaranteed â 1000 cash â 5000 prize,1
ham,havent planning buy later check already lido got 530 show e afternoon u finish work already,0
spam,free ringtone waiting collected simply text password mix 85069 verify get usher britney fml po box 5249 mk17 92h 450ppw 16,1
ham,watching telugu movie wat abt u,0
ham,see finish load loan pay,0
ham,hi wk ok hols yes bit run forgot hairdresser appointment four need get home n shower beforehand cause prob u,0
ham,see cup coffee animation,0
ham,please text anymore nothing else say,0
ham,okay name ur price long legal wen pick u ave x am xx,0
ham,still looking car buy gone 4the driving test yet,0
ham,wow right mean guess gave boston men changed search location nyc something changed cuz signin page still say boston,0
ham,umma life vava umma love lot dear,0
ham,thanks lot wish birthday thanks making birthday truly memorable,0
ham,aight hit get cash,0
ham,would ip address test considering computer minecraft server,0
ham,know grumpy old people mom like better lying always one play joke,0
ham,dont worry guess busy,0
ham,plural noun research,0
ham,going dinner msg,0
ham,ok wif co like 2 try new thing scared u dun like mah co u said loud,0
spam,gent trying contact last weekend draw show â 1000 prize guaranteed call 09064012160 claim code k52 valid 12hrs 150ppm,1
ham,wa ur openin sentence formal anyway fine juz tt eatin much n puttin weight haha anythin special happened,0
ham,entered cabin pa said happy b day bos felt special askd 4 lunch lunch invited apartment went,0
spam,winner u specially selected 2 receive â 1000 4 holiday flight inc speak live operator 2 claim 0871277810910p min 18,1
ham,goodo yes must speak friday egg potato ratio tortilla needed,0
ham,hmm uncle informed paying school directly pls buy food,0
spam,private 2004 account statement 07742676969 show 786 unredeemed bonus point claim call 08719180248 identifier code 45239 expires,1
spam,urgent mobile awarded â 2000 bonus caller prize 5 9 03 final try contact u call landline 09064019788 box42wr29c 150ppm,1
ham,new address apple pair malarky,0
spam,today voda number ending 7548 selected receive 350 award match please call 08712300220 quoting claim code 4041 standard rate app,1
ham,going sao mu today done 12,0
ham,ã predict wat time ã¼ finish buying,0
ham,good stuff,0
ham,know yetunde sent money yet sent text bother sending dont involve anything imposed anything first place apologise,0
ham,room,0
ham,hey girl r u hope u r well del r bak long time c give call sum time lucyxx,0
ham,k k much cost,0
ham,home,0
ham,dear call tmorrow pls accomodate,0
ham,first answer question,0
spam,sunshine quiz wkly q win top sony dvd player u know country algarve txt ansr 82277 â 1 50 sp tyrone,1
spam,want 2 get laid tonight want real dogging location sent direct 2 ur mob join uk largest dogging network bt txting gravel 69888 nt ec2a 31p msg 150p,1
ham,haf msn yijue hotmail com,0
ham,call meet,0
ham,check room befor activity,0
spam,rcv msg chat svc free hardcore service text go 69988 u get nothing u must age verify yr network try,1
ham,got c lazy type forgot ã¼ lect saw pouch like v nice,0
ham,k text way,0
ham,sir waiting mail,0
ham,swt thought nver get tired little thing 4 lovable person coz somtimes little thing occupy biggest part heart gud ni8,0
ham,know pls open back,0
ham,yes see ya dot,0
ham,whats staff name taking class u,0
spam,freemsg replied text randy sexy female live local luv hear u netcollex ltd 08700621170150p per msg reply stop end,1
ham,ummma call check life begin qatar pls pray hard,0
ham,k deleted contact,0
ham,sindu got job birla soft,0
ham,wine flowing nevering,0
ham,yup thk cine better co need 2 go 2 plaza mah,0
ham,ok ur typical reply,0
ham,everywhere dirt floor window even shirt sometimes open mouth come flowing dream world without half chore time joy lot tv show see guess like thing must exist like rain hail mist time done become one,0
ham,aaooooright work,0
ham,leaving house,0
ham,hello love get interview today happy good boy think missing,0
spam,customer service annoncement new year delivery waiting please call 07046744435 arrange delivery,1
spam,winner u specially selected 2 receive â 1000 cash 4 holiday flight inc speak live operator 2 claim 0871277810810,1
ham,keep safe need miss already envy everyone see real life,0
ham,new car house parent new job hand,0
ham,love excited day spend make happy,0
spam,pls stop bootydelious 32 f inviting friend reply yes 434 434 see www sm ac u bootydelious stop send stop frnd 62468,1
spam,bangbabes ur order way u receive service msg 2 download ur content u goto wap bangb tv ur mobile internet service menu,1
ham,place ur point e culture module already,0
spam,urgent trying contact last weekend draw show â 900 prize guaranteed call 09061701939 claim code s89 valid 12hrs,1
ham,hi frnd best way avoid missunderstding wit beloved one,0
ham,great escape fancy bridge need lager see tomo,0
ham,yes completely form clark also utter waste,0
ham,sir need axis bank account bank address,0
ham,hmmm thk sure got time hop ard ya go 4 free abt muz call u discus liao,0
ham,time coming later,0
ham,bloody hell cant believe forgot surname mr ill give u clue spanish begin,0
ham,well gonna finish bath good fine night,0
ham,let know got money carlos make call,0
ham,u still going mall,0
ham,turn friend staying whole show back til lt gt feel free go ahead smoke lt gt worth,0
ham,text doesnt reply let know log,0
ham,hi spoke maneesha v like know satisfied experience reply toll free yes,0
ham,lifted hope offer money need especially end month approach hurt studying anyways gr8 weekend,0
ham,lol u trust,0
ham,ok gentleman treat dignity respect,0
ham,guy close,0
ham,going nothing great bye,0
ham,hello handsome finding job lazy working towards getting back net mummy boytoy miss,0
ham,haha awesome minute,0
spam,please call customer service representative freephone 0808 145 4742 9am 11pm guaranteed â 1000 cash â 5000 prize,1
ham,got xmas radio time get,0
ham,jus reached home go bathe first si using net tell u finish k,0
spam,unique enough find 30th august www areyouunique co uk,1
ham,sorry joined league people dont keep touch mean great deal friend time even great personal cost great week,0
ham,hi finally completed course,0
ham,stop however suggest stay someone able give or every stool,0
ham,hope settled new school year wishin gr8 day,0
ham,gud mrng dear hav nice day,0
ham,u got person story,0
ham,hamster dead hey tmr meet 1pm orchard mrt,0
ham,hi kate evening hope see tomorrow bit bloody babyjontet txt back u xxx,0
ham,found enc lt gt,0
ham,sent lt gt buck,0
ham,hello darlin ive finished college txt u finish u love kate xxx,0
ham,account refilled successfully inr lt decimal gt keralacircle prepaid account balance r lt decimal gt transaction id kr lt gt,0
ham,goodmorning sleeping ga,0
ham,u call alter 11 ok,0
ham,ã say like dat dun buy ericsson oso cannot oredi lar,0
ham,aight yo dat straight dogg,0
ham,please give u connection today lt decimal gt refund bill,0
ham,shoot big load get ready,0
ham,bruv hope great break rewarding semester,0
ham,home always chat,0
ham,k k good study well,0
ham,yup ã¼ noe leh,0
ham,sound great home,0
ham,finally match heading towards draw prediction,0
ham,tired slept well past night,0
ham,easy ah sen got selected mean good,0
ham,take exam march 3,0
ham,yeah think use gt atm register sure anyway help let know sure ready,0
ham,ok prob take ur time,0
ham,o called ubandu run without installing hard disk use o copy important file system give repair shop,0
ham,u say leh course nothing happen lar say v romantic jus bit lor thk e nite scenery nice leh,0
spam,500 new mobile 2004 must go txt nokia 89545 collect today â 1 www 4 tc biz 2optout 087187262701 50gbp mtmsg18,1
ham,would really appreciate call need someone talk,0
spam,u meet ur dream partner soon ur career 2 flyng start 2 find free txt horo followed ur star sign e g horo aries,1
ham,hey company elama po mudyadhu,0
ham,life strict teacher bcoz teacher teach lesson amp conduct exam life first conduct exam amp teach lesson happy morning,0
ham,dear good morning,0
ham,get gandhipuram walk cross cut road right side lt gt street road turn first right,0
ham,dear going rubber place,0
ham,sorry battery died yeah,0
ham,yes tv always available work place,0
spam,text meet someone sexy today u find date even flirt u join 4 10p reply name age eg sam 25 18 msg recd thirtyeight penny,1
ham,printed oh lt gt come upstairs,0
ham,ill little closer like bus stop street,0
ham,wil reach,0
ham,new theory argument win situation loses person dont argue ur friend kick amp say always correct,0
spam,u 447801259231 secret admirer looking 2 make contact u find r reveal think ur special call 09058094597,1
ham,tomarrow final hearing laptop case cant,0
ham,pleassssssseeeeee tel v avent done sportsx,0
ham,okay shining meant signing sound better,0
ham,although told u dat baig face watch really like e watch u gave co fr u thanx 4 everything dat u done today touched,0
ham,u remember old commercial,0
ham,late said website dont slipper,0
ham,asked call ok,0
ham,kallis wont bat 2nd inning,0
ham,didnt work oh ok goodnight fix ready time wake dearly missed good night sleep,0
spam,congratulation ur awarded 500 cd voucher 125gift guaranteed free entry 2 100 wkly draw txt music 87066 tncs www ldew com1win150ppmx3age16,1
ham,ranjith cal drpd deeraj deepak 5min hold,0
ham,wen ur lovable bcums angry wid u dnt take seriously coz angry childish n true way showing deep affection care n luv kettoda manda nice day da,0
ham,,0
ham,ups 3days also shipping company take 2wks way usps take week get lag may bribe nipost get stuff,0
ham,back lemme know ready,0
ham,necessarily expect done get back though headin,0
ham,mmm yummy babe nice jolt suzy,0
ham,lover need,0
spam,tried contact reply offer video handset 750 anytime network min unlimited text camcorder reply call 08000930705,1
ham,iâ parked next mini coming today think,0
ham,yup,0
ham,anyway going shopping co si done yet dun disturb u liao,0
ham,luton 0125698789 ring ur around h,0
spam,hey really horny want chat see naked text hot 69698 text charged 150pm unsubscribe text stop 69698,1
ham,dint come u,0
ham,wana plan trip sometme,0
ham,sure yet still trying get hold,0
spam,ur ringtone service changed 25 free credit go club4mobiles com choose content stop txt club stop 87070 150p wk club4 po box1146 mk45 2wt,1
ham,evo download flash jealous,0
spam,ringtone club get uk single chart mobile week choose top quality ringtone message free charge,1
ham,come mu sorting narcotic situation,0
ham,night ended another day morning come special way may smile like sunny ray leaf worry blue blue bay,0
spam,hmv bonus special 500 pound genuine hmv voucher answer 4 easy question play send hmv 86688 info www 100percent real com,1
ham,usf guess might well take 1 car,0
ham,objection bf coming,0
ham,thanx,0
ham,tell rob mack gf theater,0
ham,awesome see bit,0
ham,sent type food like,0
ham,done handed celebration full swing yet,0
ham,got called tool,0
ham,wen u miss someone person definitely special u person special miss keep touch gdeve,0
ham,ok asked money far,0
ham,okie,0
ham,yeah think usual guy still passed last night get ahold anybody let know throw,0
ham,k might come tonight class let early,0
ham,ok,0
ham,hi baby im cruisin girl friend r u 2 give call hour home thats alright fone fone love jenny xxx,0
ham,life mean lot love life love people life world call friend call world ge,0
ham,dear shall mail tonite busy street shall update tonite thing looking ok varunnathu edukkukayee raksha ollu good one real sense,0
ham,hey told name gautham ah,0
ham,haf u found feel stupid da v cam working,0
ham,oops 4 got bit,0
ham,much buzy,0
ham,accidentally deleted message resend please,0
spam,mobile customer may claim free camera phone upgrade pay go sim card loyalty call 0845 021 3680 offer end 28thfeb c apply,1
ham,unless situation go gurl would appropriate,0
ham,hurt tease make cry end life die plz keep one rose grave say stupid miss u nice day bslvyl,0
ham,cant pick phone right pls send message,0
ham,need coffee run tomo believe time week already,0
ham,awesome remember last time got somebody high first time diesel v,0
ham,shit really shocking scary cant imagine second def night u think somewhere could crash night save taxi,0
ham,oh way food fridge want go meal tonight,0
ham,womdarfull actor,0
spam,sm ac blind date 4u rodds1 21 aberdeen united kingdom check http img sm ac w icmb3cktz8r7 4 blind date send hide,1
ham,yup remb think book,0
ham,jos ask u wana meet,0
ham,lol yes friendship hanging thread cause u buy stuff,0
spam,themob check newest selection content game tone gossip babe sport keep mobile fit funky text wap 82468,1
ham,garage key bookshelf,0
ham,today accept day u accept brother sister lover dear1 best1 clos1 lvblefrnd jstfrnd cutefrnd lifpartnr belovd swtheart bstfrnd rply mean enemy,0
spam,think ur smart win â 200 week weekly quiz text play 85222 c winnersclub po box 84 m26 3uz 16 gbp1 50 week,1
ham,say give call friend got money definitely buying end week,0
ham,hi way u 2day normal way real ur unique hope know u 4 rest mylife hope u find wot lost,0
ham,made day great day,0
ham,k k advance happy pongal,0
ham,hmmm guess go 4 kb n power yoga haha dunno tahan power yoga anot thk got lo oso forgot liao,0
ham,really dude friend afraid,0
spam,december mobile 11mths entitled update latest colour camera mobile free call mobile update co free 08002986906,1
ham,coffee cake guess,0
ham,merry christmas babe love ya kiss,0
ham,hey dont go watch x men lunch haha,0
ham,cud u tell ppl im gona b bit l8 co 2 bus hav gon past co full im still waitin 4 1 pete x,0
ham,would great guild could meet bristol road somewhere get touch weekend plan take flight good week,0
ham,problem,0
ham,hi da today class,0
ham,say good sign well know track record reading woman,0
ham,cool text parked,0
ham,reading text sent meant joke read light,0
ham,k k apo k good movie,0
ham,maybe could get book tomo return immediately something,0
spam,call germany 1 penny per minute call fixed line via access number 0844 861 85 85 prepayment direct access,1
ham,chance might evaporated soon violated privacy stealing phone number employer paperwork cool please contact report supervisor,0
spam,valentine day special win â 1000 quiz take partner trip lifetime send go 83600 150p msg rcvd custcare 08718720201,1
ham,ta daaaaa home babe still,0
ham,cool come havent wined dined,0
ham,sleeping surfing,0
ham,u calling right call hand phone,0
ham,ok great thanx lot,0
ham,take post come must 1000 text happy reading one wiv hello caroline end favourite bless,0
ham,u hiding stranger,0
ham,interested like,0
ham,sister cleared two round birla soft yesterday,0
ham,gudnite tc practice going,0
ham,dis yijue jus saw ur mail case huiming havent sent u num dis num,0
ham,one small prestige problem,0
spam,fancy shag interested sextextuk com txt xxuk suzy 69876 txts cost 1 50 per msg tncs website x,1
ham,checking really miss seeing jeremiah great month,0
ham,nah help never iphone,0
ham,car hour half going apeshit,0
ham,today sorry day ever angry ever misbehaved hurt plz plz slap urself bcoz ur fault basically good,0
ham,yo guy ever figure much need alcohol jay trying figure much safely spend weed,0
ham,lt gt ish minute 5 minute ago wtf,0
ham,thank calling forgot say happy onam sirji fine remembered met insurance person meet qatar insha allah rakhesh ex tata aig joined tissco tayseer,0
spam,ur cash balance currently 500 pound maximize ur cash send cash 86688 150p msg cc 08708800282 hg suite342 2lands row w1j6hl,1
ham,actor work work evening sleep late since unemployed moment always sleep late unemployed every day saturday,0
ham,hello got st andrew boy long way cold keep posted,0
ham,ha ha cool cool chikku chikku db,0
ham,oh ok prob,0
ham,check audrey status right,0
ham,busy trying finish new year looking forward finally meeting,0
ham,good afternoon sunshine dawn day refreshed happy alive breathe air smile think love always,0
ham,well know z take care worry,0
spam,update_now xmas offer latest motorola sonyericsson nokia free bluetooth double min 1000 txt orange call mobileupd8 08000839402 call2optout f4q,1
spam,discount code rp176781 stop message reply stop www regalportfolio co uk customer service 08717205546,1
ham,wat uniform get,0
ham,cool text ready,0
ham,hello boytoy geeee miss already woke wish bed cuddling love,0
ham,spoil bed well,0
ham,going bath msg next lt gt min,0
ham,cant keep talking people sure pay agree price pls tell want really buy much willing pay,0
spam,thanks ringtone order reference t91 charged gbp 4 per week unsubscribe anytime calling customer service 09057039994,1
ham,say happen,0
ham,could seen recognise face,0
ham,well lot thing happening lindsay new year sigh bar ptbo blue heron something going,0
ham,keep payasam rinu brings,0
ham,taught ranjith sir called sm like becaus he verifying project prabu told today pa dont mistake,0
ham,guess worried must know way body repair quite sure worry take slow first test guide ovulation relax nothing said reason worry keep followin,0
ham,yeah sure give couple minute track wallet,0
ham,hey leave big deal take care,0
ham,hey late ah meet 945,0
spam,double min txts 4 6months free bluetooth orange available sony nokia motorola phone call mobileupd8 08000839402 call2optout n9dx,1
ham,took mr owl 3 lick,0
ham,customer place call,0
ham,mm time dont like fun,0
spam,4mths half price orange line rental latest camera phone 4 free phone 11mths call mobilesdirect free 08000938767 update or2stoptxt,1
ham,yup lunch buffet u eat already,0
ham,huh late fr dinner,0
ham,hey sat going intro pilate kickboxing,0
ham,morning ok,0
ham,yes think office lap room think thats last day didnt shut,0
ham,pick bout 7 30ish time going,0
ham,performance award calculated every two month current one month period,0
ham,actually sleeping still might u call back text gr8 rock si send u text wen wake,0
ham,always putting business put picture as facebook one open people ever met would think picture room would hurt make feel violated,0
ham,good evening sir al salam wahleykkum sharing happy news grace god got offer tayseer tissco joined hope fine inshah allah meet sometime rakhesh visitor india,0
ham,hmmm k want change field quickly da wanna get system administrator network administrator,0
spam,free ringtone text first 87131 poly text get 87131 true tone help 0845 2814032 16 1st free tone 3xâ 150pw eâ nd txt stop,1
ham,dear chechi talk,0
ham,hair cream shipped,0
ham,none happening til get though,0
ham,yep great loxahatchee xmas tree burning lt gt start hour,0
ham,haha get used driving usf man know lot stoner,0
ham,well slightly disastrous class pm fav darling hope day ok coffee wld good stay late tomorrow time place always,0
ham,hello good week fancy drink something later,0
ham,headin towards busetop,0
ham,message text missing sender name missing number missing sent date missing missing u lot thats everything missing sent via fullonsms com,0
ham,come room point iron plan weekend,0
ham,co want thing,0
ham,okies go yan jiu skip ard oso go cine den go mrt one blah blah blah,0
ham,bring home wendy,0
spam,100 dating service cal l 09064012103 box334sk38ch,1
ham,whatsup dont u want sleep,0
ham,alright new goal,0
spam,free entry â 250 weekly competition text word win 80086 18 c www txttowin co uk,1
ham,alright head minute text meet,0
spam,send logo 2 ur lover 2 name joined heart txt love name1 name2 mobno eg love adam eve 07123456789 87077 yahoo pobox36504w45wq txtno 4 ad 150p,1
ham,yes last week taking live call,0
spam,someone contacted dating service entered phone fancy find call landline 09111032124 pobox12n146tf150p,1
ham,siva hostel aha,0
spam,urgent mobile number awarded â 2000 prize guaranteed call 09058094455 land line claim 3030 valid 12hrs,1
ham,send ur friend receive something ur voice speaking expression 1 childish 2 naughty 3 sentiment 4 rowdy 5 ful attitude 6 romantic 7 shy 8 attractive 9 funny lt gt irritating lt gt lovable reply,0
ham,ok ok guess,0
ham,aathi dear,0
ham,pain urination thing else,0
ham,7 esplanade ã¼ mind giving lift co got car today,0
ham,wnt buy bmw car urgently vry urgent hv shortage lt gt lac source arng dis amt lt gt lac thats prob,0
ham,home watching tv lor,0
ham,usually take fifteen fucking minute respond yes question,0
spam,congrats nokia 3650 video camera phone call 09066382422 call cost 150ppm ave call 3mins vary mobile 16 close 300603 post bcm4284 ldn wc1n3xx,1
ham,booked ticket pongal,0
ham,available like right around hillsborough amp lt gt th,0
ham,message sent askin lt gt dollar shoul pay lt gt lt gt,0
ham,ask g iouri told story like ten time already,0
ham,long applebees fucking take,0
ham,hi hope u get txt journey hasnt gd 50 min late think,0
ham,like love arrange,0
ham,yes really great bhaji told kallis best cricketer sachin world tough get,0
ham,supposed wake gt,0
ham,oic saw tot din c found group liao,0
ham,hey hey werethe monkeespeople say monkeyaround howdy gorgeous howu doin foundurself jobyet sausage love jen xxx,0
ham,sorry battery died come getting gram place,0
ham,well done blimey exercise yeah kinda remember wot hmm,0
ham,wont get concentration dear know mind everything,0
ham,lol made plan new year,0
ham,10 min later k,0
ham,hank lotsly,0
ham,thanks hope good day today,0
ham,k k detail want transfer acc enough,0
ham,ok tell stay yeah tough optimistic thing improve month,0
spam,loan purpose â 500 â 75 000 homeowner tenant welcome previously refused still help call free 0800 1956669 text back help,1
ham,si si think ill go make oreo truffle,0
ham,look amy ure beautiful intelligent woman like u lot know u donâ like like donâ worry,0
ham,hope result consistently intelligent kind start asking practicum link keep ear open best ttyl,0
ham,1 20 call cost guess isnt bad miss ya need ya want ya love ya,0
ham,going thru different feeling wavering decision coping individual time heal everything believe,0
ham,u go phone gonna die stay,0
ham,great never better day give even reason thank god,0
spam,upgrdcentre orange customer may claim free camera phone upgrade loyalty call 0207 153 9153 offer end 26th july c apply opt available,1
ham,sorry call later ok bye,0
ham,ok way railway,0
ham,great princess love giving receiving oral doggy style fave position enjoy making love lt gt time per night,0
ham,put stuff road keep getting slippery,0
ham,going ride bike,0
ham,yup need jus wait 4 e rain 2 stop,0
ham,many company tell language,0
spam,okmail dear dave final notice collect 4 tenerife holiday 5000 cash award call 09061743806 landline tc sae box326 cw25wx 150ppm,1
ham,long since screamed princess,0
ham,nothing meant money enters account bank remove flat rate someone transfered lt gt account lt gt dollar got removed bank differ charge also differ sure trust 9ja person sending account detail co,0
spam,want 2 get laid tonight want real dogging location sent direct 2 ur mob join uk largest dogging network txting moan 69888nyt ec2a 31p msg 150p,1
ham,nice line said broken heart plz cum 1 time infront wise trust u good 9t,0
ham,ok gonna head usf like fifteen minute,0
ham,love aathi love u lot,0
ham,tension ah machi problem,0
ham,k pick another 8th done,0
ham,guy getting back g said thinking staying mcr,0
ham,almost see u sec,0
ham,yo carlos friend already asking working weekend,0
ham,watching tv lor,0
ham,thank baby cant wait taste real thing,0
ham,change fb jaykwon thuglyfe falconerf,0
ham,win really 1 side long time,0
spam,free message activate 500 free text message replying message word free term condition visit www 07781482378 com,1
ham,dear reached railway happen,0
ham,depends quality want type sent boye faded glory 6 want ralphs maybe 2,0
ham,think fixed send test message,0
ham,sorry man account dry would want could trade back half could buy shit credit card,0
ham,sorry meeting call later,0
ham,class lt gt reunion,0
ham,free call,0
ham,got meh,0
ham,nope think go monday sorry replied late,0
ham,told accenture confirm true,0
ham,kate jackson rec center 7ish right,0
ham,dear reache room,0
ham,fighting world easy u either win lose bt fightng some1 close u dificult u lose u lose u win u still lose,0
ham,ã¼ come,0
ham,check nuerologist,0
ham,lolnice went fish water,0
spam,error,1
ham,waiting e car dat bored wat co wait outside got nothing 2 home stuff watch tv wat,0
ham,maybe westshore hyde park village place near house,0
ham,know anthony bringing money school fee pay rent stuff like thats need help friend need,0
ham,significance,0
ham,opinion 1 2 jada 3 kusruthi 4 lovable 5 silent 6 spl character 7 matured 8 stylish 9 simple pls reply,0
ham,8 latest g still scrounge ammo want give new ak try,0
ham,prabha soryda realy frm heart sory,0
ham,lol ok forgiven,0
ham,jst change tat,0
spam,guaranteed latest nokia phone 40gb ipod mp3 player â 500 prize txt word collect 83355 ibhltd ldnw15h 150p mtmsgrcvd18,1
ham,competition,0
spam,boltblue tone 150p reply poly mono eg poly3 1 cha cha slide 2 yeah 3 slow jamz 6 toxic 8 come stop 4 tone txt,1
spam,credit topped http www bubbletext com renewal pin tgxxrz,1
ham,way transport less problematic sat night way u want ask n join bday feel free need know definite no booking fri,0
ham,usually person unconscious child adult may behave abnormally call,0
ham,ebay might less elsewhere,0
ham,shall come get pickle,0
ham,gonna go get taco,0
ham,rude campus,0
spam,urgent mobile awarded â 2 000 bonus caller prize 02 09 03 2nd attempt contact call 0871 872 9755 box95qu,1
ham,hi b ard 4 christmas enjoy n merry x ma,0
spam,today offer claim ur â 150 worth discount voucher text yes 85023 savamob member offer mobile c 08717898035 â 3 00 sub 16 unsub reply x,1
ham,yes pretty lady like single,0
spam,recieve tone within next 24hrs term condition please see channel u teletext pg 750,1
ham,jay say double faggot,0
spam,private 2003 account statement 07815296484 show 800 un redeemed point call 08718738001 identifier code 41782 expires 18 11 04,1
ham,today sunday sunday holiday work,0
ham,late,0
ham,called hoping l8r malaria know miss guy miss ban big pls give love especially great day,0
ham,good afternoon love go day hope maybe got lead job think boytoy send passionate kiss across sea,0
ham,probably gonna see later tonight lt,0
ham,maybe fat finger press button know,0
ham,ummmmmaah many many happy return day dear sweet heart happy birthday dear,0
ham,tirupur da started office call,0
spam,www applausestore com monthlysubscription 50p msg max6 month csc web age16 2stop txt stop,1
ham,famous quote develop ability listen anything unconditionally without losing temper self confidence mean married,0
ham,going college pa else ill come self pa,0
ham,4 oclock mine bash flat plan,0
ham,girl stay bed girl need recovery time id rather pas fun cooped bed,0
ham,special,0
ham,know need get hotel got invitation apologise cali sweet come english bloke weddin,0
ham,sorry took long omw,0
ham,wait lt gt min,0
ham,ok give 5 minute think see btw alibi cutting hair whole time,0
ham,imagine finally get sink bath put pace maybe even eat left also imagine feel cage cock surrounded bath water reminding always owns enjoy cuck,0
ham,hurry weed deficient like three day,0
ham,sure get acknowledgement astoundingly tactless generally faggy demand blood oath fo,0
ham,ok every night take warm bath drink cup milk see work magic still need loose weight know,0
